date,food_cos,beverage_cos,wine_cos,liquor_cos,beer_cos,total_cos
2012-09-05,572.0,453.0,2393.0,0.0,0.0,3418.0
2012-09-06,1479.0,35.0,2420.0,0.0,442.0,4376.0
2012-09-07,1438.0,0.0,191.0,0.0,1162.0,2791.0
2012-09-09,192.0,28.0,0.0,44.0,0.0,264.0
2012-09-11,1131.0,15.0,0.0,98.0,373.0,1617.0
2012-09-12,1043.0,7.0,1220.0,182.0,0.0,2452.0
2012-09-13,124.0,10.0,0.0,0.0,0.0,134.0
2012-09-15,1255.0,276.0,459.0,445.0,0.0,2435.0
2012-09-16,521.0,0.0,0.0,0.0,0.0,521.0
2012-09-17,0.0,0.0,0.0,80.0,0.0,80.0
2012-09-19,1225.0,0.0,690.0,0.0,216.0,2131.0
2012-09-20,274.0,0.0,0.0,0.0,0.0,274.0
2012-09-21,504.0,0.0,1522.0,0.0,0.0,2026.0
2012-09-23,835.0,44.0,404.0,0.0,0.0,1283.0
2012-09-25,652.0,0.0,2018.0,0.0,256.0,2926.0
2012-09-26,891.0,0.0,416.0,0.0,0.0,1307.0
2012-09-27,0.0,22.0,0.0,0.0,0.0,22.0
2012-09-29,234.0,64.0,0.0,789.0,342.0,1429.0
2012-09-30,1342.0,136.0,606.0,0.0,0.0,2084.0
2012-10-01,282.0,51.0,0.0,0.0,0.0,333.0
2012-10-02,2066.0,0.0,0.0,121.0,216.0,2403.0
2012-10-03,-217.0,0.0,1019.0,0.0,0.0,802.0
2012-10-04,576.0,0.0,404.0,0.0,0.0,980.0
2012-10-05,2501.0,0.0,1306.0,141.0,254.0,4202.0
2012-10-09,524.0,0.0,0.0,0.0,0.0,524.0
2012-10-10,340.0,0.0,2533.0,0.0,0.0,2873.0
2012-10-12,1376.0,0.0,820.0,0.0,0.0,2196.0
2012-10-13,576.0,0.0,0.0,0.0,0.0,576.0
2012-10-15,351.0,0.0,0.0,0.0,0.0,351.0
2012-10-16,1585.0,0.0,361.0,126.0,0.0,2072.0
2012-10-17,412.0,11.0,0.0,42.0,0.0,465.0
2012-10-18,1109.0,0.0,2504.0,45.0,0.0,3658.0
2012-10-19,968.0,96.0,404.0,0.0,0.0,1468.0
2012-10-22,40.0,67.0,0.0,0.0,0.0,107.0
2012-10-23,1164.0,0.0,787.0,0.0,0.0,1951.0
2012-10-24,93.0,0.0,0.0,0.0,0.0,93.0
2012-10-25,7.0,0.0,0.0,62.0,0.0,69.0
2012-10-26,2469.0,30.0,1929.0,0.0,93.0,4521.0
2012-10-28,563.0,0.0,0.0,576.0,0.0,1139.0
2012-10-29,388.0,0.0,0.0,0.0,0.0,388.0
2012-10-30,0.0,0.0,0.0,71.0,0.0,71.0
2012-10-31,128.0,67.0,1585.0,0.0,313.0,2093.0
2012-11-01,1048.0,0.0,0.0,0.0,0.0,1048.0
2012-11-02,659.0,0.0,582.0,0.0,0.0,1241.0
2012-11-03,6.0,26.0,0.0,0.0,0.0,32.0
2012-11-06,1601.0,12.0,387.0,895.0,27.0,2922.0
2012-11-07,735.0,29.0,1844.0,198.0,100.0,2906.0
2012-11-08,1584.0,-48.0,404.0,0.0,0.0,1940.0
2012-11-09,0.0,0.0,689.0,0.0,0.0,689.0
2012-11-12,995.0,30.0,387.0,113.0,0.0,1525.0
2012-11-13,899.0,0.0,0.0,68.0,0.0,967.0
2012-11-14,31.0,7.0,0.0,0.0,0.0,38.0
2012-11-15,773.0,69.0,1500.0,581.0,353.0,3276.0
2012-11-16,1256.0,0.0,350.0,0.0,93.0,1699.0
2012-11-20,2465.0,0.0,0.0,0.0,0.0,2465.0
2012-11-21,479.0,0.0,2322.0,0.0,0.0,2801.0
2012-11-22,734.0,0.0,0.0,102.0,0.0,836.0
2012-11-23,858.0,0.0,0.0,0.0,0.0,858.0
2012-11-24,18.0,26.0,0.0,0.0,0.0,44.0
2012-11-26,7.0,11.0,-39.0,0.0,0.0,-21.0
2012-11-27,1755.0,32.0,618.0,65.0,158.0,2628.0
2012-11-29,531.0,0.0,946.0,0.0,353.0,1830.0
2012-11-30,741.0,167.0,1312.0,400.0,0.0,2620.0
2012-12-03,160.0,0.0,0.0,0.0,0.0,160.0
2012-12-04,1830.0,0.0,1271.0,0.0,0.0,3101.0
2012-12-05,2669.0,0.0,2669.0,0.0,0.0,5338.0
2012-12-07,1263.0,33.0,1638.0,299.0,0.0,3233.0
2012-12-11,501.0,0.0,833.0,404.0,93.0,1831.0
2012-12-12,757.0,5.0,1815.0,0.0,353.0,2930.0
2012-12-14,1327.0,48.0,254.0,80.0,0.0,1709.0
2012-12-17,171.0,4.0,0.0,0.0,0.0,175.0
2012-12-18,3639.0,0.0,928.0,736.0,0.0,5303.0
2012-12-19,933.0,24.0,3844.0,0.0,0.0,4801.0
2012-12-20,1606.0,96.0,1328.0,0.0,0.0,3030.0
2012-12-21,1545.0,38.0,1188.0,0.0,235.0,3006.0
2012-12-23,1364.0,0.0,618.0,0.0,0.0,1982.0
2012-12-27,1045.0,0.0,1529.0,0.0,0.0,2574.0
2012-12-28,1742.0,0.0,0.0,107.0,353.0,2202.0
2012-12-31,1680.0,91.0,2273.0,-1166.0,0.0,2878.0
2013-01-01,-53.0,0.0,-701.0,14.0,0.0,-740.0
2013-01-02,143.0,0.0,0.0,0.0,0.0,143.0
2013-01-03,1067.0,0.0,0.0,0.0,0.0,1067.0
2013-01-04,212.0,0.0,191.0,860.0,0.0,1263.0
2013-01-06,176.0,0.0,0.0,40.0,0.0,216.0
2013-01-07,179.0,0.0,0.0,0.0,0.0,179.0
2013-01-08,1356.0,0.0,1557.0,0.0,373.0,3286.0
2013-01-11,111.0,186.0,666.0,0.0,0.0,963.0
2013-01-12,1140.0,0.0,0.0,0.0,0.0,1140.0
2013-01-13,96.0,2.0,0.0,51.0,100.0,249.0
2013-01-14,143.0,0.0,0.0,0.0,0.0,143.0
2013-01-15,1300.0,69.0,1413.0,860.0,0.0,3642.0
2013-01-17,942.0,0.0,149.0,333.0,0.0,1424.0
2013-01-19,2681.0,41.0,2187.0,86.0,373.0,5368.0
2013-01-21,36.0,0.0,0.0,0.0,0.0,36.0
2013-01-22,84.0,0.0,0.0,0.0,0.0,84.0
2013-01-24,310.0,0.0,2334.0,240.0,0.0,2884.0
2013-01-25,24.0,3.0,0.0,0.0,0.0,27.0
2013-01-27,48.0,7.0,0.0,0.0,0.0,55.0
2013-01-28,2090.0,0.0,175.0,111.0,0.0,2376.0
2013-01-31,869.0,18.0,2042.0,569.0,0.0,3498.0
2013-02-01,426.0,15.0,0.0,0.0,0.0,441.0
2013-02-02,-329.0,0.0,0.0,0.0,0.0,-329.0
2013-02-04,2355.0,0.0,0.0,150.0,0.0,2505.0
2013-02-05,255.0,0.0,0.0,0.0,0.0,255.0
2013-02-06,120.0,0.0,1820.0,0.0,0.0,1940.0
2013-02-08,15.0,14.0,0.0,0.0,0.0,29.0
2013-02-11,30.0,0.0,0.0,0.0,0.0,30.0
2013-02-12,2965.0,0.0,4513.0,745.0,108.0,8331.0
2013-02-14,1972.0,0.0,340.0,323.0,0.0,2635.0
2013-02-15,910.0,0.0,0.0,0.0,0.0,910.0
2013-02-16,0.0,0.0,0.0,74.0,0.0,74.0
2013-02-17,20.0,0.0,0.0,30.0,0.0,50.0
2013-02-19,1107.0,0.0,339.0,363.0,0.0,1809.0
2013-02-21,1499.0,47.0,1088.0,0.0,0.0,2634.0
2013-02-23,225.0,0.0,0.0,62.0,106.0,393.0
2013-02-25,2829.0,0.0,742.0,0.0,80.0,3651.0
